State,Year,Metric,Forecasted_Value,CI_Lower,CI_Upper,ARIMA_Params,Is_Stationary
New Jersey,2023,% meeting 1,96.35903485182811,96.33412247851462,96.38394722514161,"(3, 0, 0)",True
New Jersey,2024,% meeting 1,97.44473969231953,97.39775597192937,97.49172341270969,"(3, 0, 0)",True
New Jersey,2023,% meeting 3,29.354477889857783,29.29912694535094,29.409828834364625,"(2, 2, 0)",False
New Jersey,2024,% meeting 3,28.004963613558626,27.911099505294377,28.098827721822875,"(2, 2, 0)",False
New Jersey,2023,% meeting 6,38.444154035506365,38.380607071918305,38.507700999094425,"(2, 2, 0)",False
New Jersey,2024,% meeting 6,34.038739484566364,33.92616776350704,34.15131120562569,"(2, 2, 0)",False
New Mexico,2023,% meeting 1,-25.635373647801117,,,"(2, 2, 0)",False
New Mexico,2024,% meeting 1,-34.59489309075845,,,"(2, 2, 0)",False
New Mexico,2023,% meeting 3,23.039741000559122,22.996266284469517,23.083215716648727,"(3, 2, 0)",False
New Mexico,2024,% meeting 3,52.119622847166674,52.07614640411518,52.16309929021817,"(3, 2, 0)",False
New Mexico,2023,% meeting 6,48.559283794305614,,,"(3, 0, 1)",False
New Mexico,2024,% meeting 6,48.559283794305614,,,"(3, 0, 1)",False
New York,2023,% meeting 1,93.40560926274007,93.37912040056057,93.43209812491958,"(3, 1, 0)",False
New York,2024,% meeting 1,94.18934356235172,94.15380437879949,94.22488274590395,"(3, 1, 0)",False
New York,2023,% meeting 3,11.585745133565306,11.565694841212903,11.605795425917709,"(2, 2, 3)",False
New York,2024,% meeting 3,12.378118634520234,12.356781396746461,12.399455872294007,"(2, 2, 3)",False
New York,2023,% meeting 6,32.660670353555076,32.571677044587084,32.74966366252307,"(2, 2, 0)",False
New York,2024,% meeting 6,35.008988320831435,34.911946720095855,35.106029921567014,"(2, 2, 0)",False
North Carolina,2023,% meeting 1,97.43333465099454,97.42941697022184,97.43725233176724,"(3, 0, 3)",False
North Carolina,2024,% meeting 1,97.47174411836961,97.46680505749207,97.47668317924716,"(3, 0, 3)",False
North Carolina,2023,% meeting 3,28.11156531328821,27.728792486180964,28.494338140395456,"(2, 0, 0)",True
North Carolina,2024,% meeting 3,32.18870480932884,31.364968318270112,33.012441300387565,"(2, 0, 0)",True
North Carolina,2023,% meeting 6,48.21324980282305,48.196102373220285,48.230397232425815,"(3, 1, 0)",True
North Carolina,2024,% meeting 6,43.306283244474166,43.288315991107986,43.324250497840346,"(3, 1, 0)",True
North Dakota,2023,% meeting 1,97.79996723412818,97.79745635036888,97.80247811788747,"(3, 0, 3)",False
North Dakota,2024,% meeting 1,97.9003672686714,97.89713760324817,97.90359693409464,"(3, 0, 3)",False
North Dakota,2023,% meeting 3,25.60000000000061,22.980194532499667,28.21980546750155,"(0, 2, 0)",True
North Dakota,2024,% meeting 3,27.300000000001216,21.4419368867917,33.15806311321073,"(0, 2, 0)",True
North Dakota,2023,% meeting 6,52.68217758658926,52.58829971376712,52.7760554594114,"(2, 2, 0)",False
North Dakota,2024,% meeting 6,72.47623357580484,72.3417670585892,72.61070009302048,"(2, 2, 0)",False
Northern Marianas,2023,% meeting 1,100.09999999989233,98.94599749857596,101.2540025012087,"(0, 2, 0)",False
Northern Marianas,2024,% meeting 1,100.99999999978468,98.41957196051767,103.58042803905168,"(0, 2, 0)",False
Northern Marianas,2023,% meeting 3,51.25175883772433,31.592720835861474,70.91079683958719,"(1, 2, 0)",False
Northern Marianas,2024,% meeting 3,36.48568687037879,7.897257418708573,65.07411632204901,"(1, 2, 0)",False
Northern Marianas,2023,% meeting 6,129.99983193571978,129.8877506906758,130.11191318076376,"(2, 2, 0)",False
Northern Marianas,2024,% meeting 6,149.9980831238338,149.78024158494242,150.21592466272517,"(2, 2, 0)",False
Ohio,2023,% meeting 1,94.85093931120835,94.84530646526045,94.85657215715625,"(3, 0, 0)",False
Ohio,2024,% meeting 1,95.48868698084891,95.48301269135324,95.49436127034458,"(3, 0, 0)",False
Ohio,2023,% meeting 3,65.0133670264389,65.00086249591563,65.02587155696217,"(3, 0, 3)",False
Ohio,2024,% meeting 3,60.911759438454006,60.891432567603154,60.93208630930486,"(3, 0, 3)",False
Ohio,2023,% meeting 6,38.58289982836853,38.507192160218985,38.65860749651808,"(2, 2, 0)",False
Ohio,2024,% meeting 6,33.46541075573775,33.37772744534406,33.55309406613144,"(2, 2, 0)",False
