State,Metric,ARIMA_Params,AIC,BIC,LogLikelihood,NumObs,InSample_MAE,InSample_RMSE,InSample_MAPE,Is_Stationary
Colorado,% meeting 6,"(0, 2, 0)",9.382128850053956,7.382128850053956,-3.691064425026978,3,25.20034492562516,28.923723390427618,59.259384135795976,True
Connecticut,% meeting 1,"(3, 0, 3)",-10.758171365371147,-13.882668065898345,13.379085682685574,5,0.10563112537370216,0.15330027971791543,0.10781016629126255,False
Connecticut,% meeting 3,"(2, 2, 0)",16.8330206917073,14.12885755771163,-5.41651034585365,5,27.04707474391545,39.68108743853337,36.988474480796974,False
Connecticut,% meeting 6,"(3, 0, 2)",25.50219509258397,22.768260479622676,-5.7510975462919856,5,2.3450205619556312,3.467520876418717,5.247454016040324,False
Delaware,% meeting 1,"(2, 2, 0)",9.531967794760883,6.827804660765212,-1.7659838973804414,5,26.83755717051805,44.256199978144124,29.278673091625944,True
Delaware,% meeting 3,"(2, 2, 0)",9.626594677096907,6.922431543101236,-1.8132973385484537,5,3.28050069660483,4.125800658162706,48.89418332171303,True
Delaware,% meeting 6,"(2, 2, 0)",24.645885965860845,21.941722831865174,-9.322942982930423,5,40.72153138446617,46.606135284305914,130.88097613410744,False
District of Columbia,% meeting 1,"(2, 2, 1)",3.8969071022662867,0.2913562569387258,2.0515464488668567,5,28.672677530145428,47.50393232271595,29.950516667651666,False
District of Columbia,% meeting 3,"(2, 2, 0)",13.281540741269524,10.577377607273853,-3.6407703706347614,5,4.567466597274549,5.1572989938308105,56.350343530246946,False
District of Columbia,% meeting 6,"(0, 0, 0)",-102.37959180718497,-103.16071598231676,53.18979590359248,5,4.824558165895681e-06,4.824558165895681e-06,inf,True
Florida,% meeting 1,"(2, 2, 0)",10.160189532859313,7.456026398863642,-2.0800947664296565,5,26.986900450340944,43.68025258454719,30.33276621437071,False
Florida,% meeting 3,"(2, 2, 0)",24.792794331761833,22.088631197766162,-9.396397165880916,5,44.88229602000049,53.080204400832535,156.2479174293251,False
Florida,% meeting 6,"(2, 2, 0)",10.69480588416138,7.990642750165708,-2.3474029420806892,5,11.310130620117468,17.94719593247158,30.778200135253584,False
Georgia,% meeting 1,"(3, 0, 2)",-1.647254456120244,-4.381189069081541,7.823627228060122,5,0.28523093504061026,0.46408855440139474,0.3003020335783187,False
Georgia,% meeting 3,"(3, 0, 2)",5.4901707771127874,2.75623616415149,4.254914611443606,5,0.6338976983301358,0.9685533923539071,2.9557551765029633,True
Georgia,% meeting 6,"(2, 2, 0)",11.458177518281214,8.754014384285544,-2.729088759140607,5,10.251307529681558,16.064788749768198,29.609681438012853,False
Guam,% meeting 1,"(1, 2, 0)",18.228060316598054,16.425284893934272,-7.114030158299027,5,29.843599506822024,47.63659583011101,31.097029913319506,False
Guam,% meeting 3,"(0, 2, 0)",25.567390625006013,24.666002913674124,-11.783695312503006,5,16.40016619346093,19.263594458494758,inf,True
Guam,% meeting 6,"(3, 1, 1)",10.0,6.931471805599453,0.0,5,26.609670971802508,30.623563366921623,inf,False
Hawaii,% meeting 1,"(3, 0, 2)",-0.5796053234899112,-3.3135399364512086,7.289802661744956,5,0.3561676184507775,0.4755646675064244,0.3674244093570162,False
Hawaii,% meeting 3,"(2, 2, 0)",17.37387359359561,14.66971045959994,-5.686936796797806,5,20.087091412304712,28.938495590921153,34.080224707683804,False
Hawaii,% meeting 6,"(2, 2, 0)",22.478023172562047,19.773860038566376,-8.239011586281023,5,18.13849038333219,23.50517433427603,61.89420964892418,True
